trip_id,customer_id,vehicle_id,driver_id,pickup_city,drop_city,distance_to_travel,tourism_type,trip_category,trip_start_date,trip_end_date,trip_status,booking_amount,advance_paid,payment_status
101,2904,13,40,Vijayawada,Lambasingi,430,Vacation,"Package Trip","2025-08-19 14:00:00","2025-08-19 22:00:00",Completed,20069,11298,Pending
102,678,2,25,Guntur,"Chirala Beach",110,Beach,"Package Trip","2026-03-23 07:00:00","2026-03-23 09:00:00",Completed,24324,16014,Paid
103,2323,6,19,Vijayawada,Hyderabad,275,Corporate,"Marriage Booking","2025-09-27 10:00:00","2025-09-27 15:00:00",Completed,59483,29692,Paid
104,1632,15,33,Guntur,Bheemunipatnam,390,Beach,"Package Trip","2024-12-29 20:00:00","2024-12-30 03:00:00",completed,12164,6931,Pending
105,804,7,21,Hyderabad,Pondicherry,780,Beach,"Marriage Booking","2024-11-18 11:00:00","2024-11-19 02:00:00",completed,8928,3065,Partial
106,430,4,29,Guntur,"Horsley Hills",430,Vacation,"Round Trip","2025-03-05 08:00:00","2025-03-05 16:00:00",Completed,10632,2899,Paid
107,2766,12,29,Ongole,"Chennai Airport",320,Airport,"Marriage Booking","2024-06-09 04:00:00","2024-06-09 10:00:00",Completed,65653,36761,Partial
108,2194,6,18,Hyderabad,Ooty,850,Vacation,"Package Trip","2024-07-29 11:00:00","2024-07-30 04:00:00",Completed,37930,16595,Partial
109,1699,7,24,Hyderabad,Goa,660,Beach,"Airport Transfer","2024-09-15 22:00:00","2024-09-16 11:00:00",completed,3777,2239,Pending
110,666,6,40,Guntur,"Amaravati Secretariat",40,Corporate,"Marriage Booking","2024-12-30 17:00:00","2024-12-30 19:00:00",Cancelled,36049,7244,Pending
111,2315,10,13,Ongole,"Chennai Airport",320,Airport,"Marriage Booking","2025-09-22 06:00:00","2025-09-22 12:00:00",Completed,11646,7775,Pending
112,1219,4,23,Vijayawada,Kakinada,210,Marriage,"Airport Transfer","2025-08-29 12:00:00","2025-08-29 16:00:00",completed,20261,12674,Paid
113,2303,15,5,Hyderabad,"Araku Valley",710,Vacation,"Airport Transfer","2024-03-28 01:00:00","2024-03-28 15:00:00",Completed,18454,8495,Pending
114,2461,14,40,Guntur,Rajahmundry,170,Marriage,"Corporate Travel","2025-09-22 07:00:00","2025-09-22 10:00:00",Completed,22664,4754,Partial
115,2623,1,13,Vijayawada,"Wonderla Bangalore",650,Entertainment,"Airport Transfer","2024-05-01 04:00:00","2024-05-01 17:00:00",Completed,5405,1909,Pending
116,562,10,35,Nellore,Tirumala,140,Devotional,"One Way","2025-09-06 18:00:00","2025-09-06 20:00:00",completed,11139,3861,Partial
117,838,8,16,Nellore,Tirumala,140,Devotional,"Marriage Booking","2025-08-11 17:00:00","2025-08-11 19:00:00",Cancelled,12729,7353,Pending
118,2931,10,10,Hyderabad,Ooty,850,Vacation,"Airport Transfer","2025-08-11 06:00:00","2025-08-11 23:00:00",Completed,20855,12274,Partial
119,2170,3,31,Nellore,Tirumala,140,Devotional,"Round Trip","2024-11-13 23:00:00","2024-11-14 01:00:00",Completed,10873,6959,Paid
120,192,4,12,Nellore,Tirumala,140,Devotional,"Corporate Travel","2025-10-01 01:00:00","2025-10-01 03:00:00",Cancelled,17286,5487,Pending
121,2725,8,29,Hyderabad,Yadagirigutta,65,Devotional,"Round Trip","2024-10-03 12:00:00","2024-10-03 14:00:00",Completed,14360,9609,Pending
122,287,1,30,Guntur,Rajahmundry,170,Marriage,"Corporate Travel","2026-03-06 03:00:00","2026-03-06 06:00:00",Completed,11547,7679,Paid
123,2203,9,4,Guntur,"Hyderabad Airport",310,Airport,"Airport Transfer","2026-01-10 12:00:00","2026-01-10 18:00:00",Completed,14440,4521,Paid
124,2301,8,6,Vijayawada,Srisailam,290,Devotional,"One Way","2024-05-30 20:00:00","2024-05-31 01:00:00",Completed,14011,6649,Partial
125,2064,9,33,Hyderabad,Pondicherry,780,Beach,"Corporate Travel","2024-04-03 16:00:00","2024-04-04 07:00:00",Cancelled,14010,4726,Partial
126,930,5,19,Guntur,Bheemunipatnam,390,Beach,"Airport Transfer","2025-04-18 23:00:00","2025-04-19 06:00:00",Cancelled,3336,2027,Pending
127,2281,5,21,Vijayawada,Srisailam,290,Devotional,"One Way","2025-05-19 05:00:00","2025-05-19 10:00:00",Completed,9753,6442,Paid
128,488,6,31,Vijayawada,"Wonderla Bangalore",650,Entertainment,"One Way","2024-03-12 12:00:00","2024-03-13 01:00:00",completed,38733,18940,Pending
129,1656,8,13,Visakhapatnam,Simhachalam,20,Devotional,"Package Trip","2025-08-08 23:00:00","2025-08-09 01:00:00",Completed,7595,2508,Paid
130,1302,4,9,Vijayawada,Kakinada,210,Marriage,"Package Trip","2025-08-25 18:00:00","2025-08-25 22:00:00",Completed,27419,14170,Pending
131,2841,13,33,Guntur,"Amaravati Secretariat",40,Corporate,"Marriage Booking","2024-10-15 00:00:00","2024-10-15 02:00:00",Completed,12941,5970,Pending
132,826,1,8,Guntur,"Hyderabad Airport",310,Airport,"One Way","2026-03-10 00:00:00","2026-03-10 06:00:00",Completed,2971,1635,Pending
133,2410,1,34,Guntur,"Horsley Hills",430,Vacation,"One Way","2024-03-09 12:00:00","2024-03-09 20:00:00",Completed,11318,4875,Partial
134,1341,6,29,Hyderabad,Ooty,850,Vacation,"Round Trip","2024-03-13 15:00:00","2024-03-14 08:00:00",Cancelled,64269,30003,Paid
135,1569,11,23,Hyderabad,Ooty,850,Vacation,"Corporate Travel","2024-06-08 09:00:00","2024-06-09 02:00:00",Completed,10074,4312,Pending
136,1557,4,3,Vijayawada,Visakhapatnam,350,Beach,"Package Trip","2024-03-10 07:00:00","2024-03-10 14:00:00",Completed,27584,8621,Pending
137,772,2,22,Guntur,"Horsley Hills",430,Vacation,"One Way","2026-02-11 00:00:00","2026-02-11 08:00:00",Cancelled,26411,15866,Partial
138,802,7,15,Visakhapatnam,Simhachalam,20,Devotional,"Marriage Booking","2026-02-17 17:00:00","2026-02-17 19:00:00",Completed,2676,1293,Paid
139,1697,5,6,Hyderabad,"Araku Valley",710,Vacation,"Marriage Booking","2025-12-14 15:00:00","2025-12-15 05:00:00",completed,9910,4909,Partial
140,2633,3,39,Guntur,Tirupati,380,Devotional,"Marriage Booking","2026-04-15 18:00:00","2026-04-16 01:00:00",completed,7162,4629,Pending
141,2468,15,25,Vijayawada,Visakhapatnam,350,Beach,"Package Trip","2024-04-14 06:00:00","2024-04-14 13:00:00",Completed,16974,5454,Paid
142,2332,12,12,Guntur,Nellore,270,Marriage,"Marriage Booking","2024-11-29 14:00:00","2024-11-29 19:00:00",Completed,63978,22624,Pending
143,562,4,11,Hyderabad,Goa,660,Beach,"Package Trip","2024-11-01 05:00:00","2024-11-01 18:00:00",completed,15755,5046,Pending
144,2516,7,7,Guntur,Rajahmundry,170,Marriage,"Round Trip","2025-09-11 20:00:00","2025-09-11 23:00:00",Completed,2881,1460,Pending
145,1911,1,10,Hyderabad,Yadagirigutta,65,Devotional,"Package Trip","2025-06-30 02:00:00","2025-06-30 04:00:00",Cancelled,9463,2551,Pending
146,344,14,31,Guntur,Bheemunipatnam,390,Beach,"Corporate Travel","2024-09-14 07:00:00","2024-09-14 14:00:00",Completed,20071,9603,Pending
147,2222,9,26,Vijayawada,Visakhapatnam,350,Beach,"Round Trip","2026-02-08 19:00:00","2026-02-09 02:00:00",Cancelled,11874,7564,Paid
148,140,8,1,Guntur,"Horsley Hills",430,Vacation,"Round Trip","2024-12-08 13:00:00","2024-12-08 21:00:00",completed,3828,1516,Paid
149,814,3,11,Guntur,Rajahmundry,170,Marriage,"Round Trip","2025-02-10 11:00:00","2025-02-10 14:00:00",Completed,10838,2670,Pending
150,327,10,21,Vijayawada,"Wonderla Bangalore",650,Entertainment,"Round Trip","2024-10-10 10:00:00","2024-10-10 23:00:00",Completed,22091,7818,Partial
151,822,1,27,Guntur,"Hyderabad Airport",310,Airport,"Round Trip","2025-01-24 17:00:00","2025-01-24 23:00:00",Completed,3882,2394,Paid
152,2985,12,11,Hyderabad,Yadagirigutta,65,Devotional,"Airport Transfer","2025-12-22 19:00:00","2025-12-22 21:00:00",Cancelled,67111,20947,Partial
153,619,5,26,Hyderabad,Pondicherry,780,Beach,"Corporate Travel","2026-04-23 03:00:00","2026-04-23 18:00:00",Cancelled,12673,5746,Paid
154,2220,2,19,Guntur,"Vijayawada Airport",35,Airport,"Airport Transfer","2025-08-21 11:00:00","2025-08-21 13:00:00",Completed,29713,9249,Partial
155,2289,3,39,Guntur,"Vijayawada Airport",35,Airport,"Marriage Booking","2025-08-30 17:00:00","2025-08-30 19:00:00",Completed,6601,3776,Pending
156,2673,6,33,Guntur,"Amaravati Secretariat",40,Corporate,"Marriage Booking","2025-02-24 06:00:00","2025-02-24 08:00:00",Cancelled,54346,16280,Paid
157,340,14,30,Visakhapatnam,Simhachalam,20,Devotional,"Corporate Travel","2026-03-14 17:00:00","2026-03-14 19:00:00",Completed,11975,3057,Partial
158,874,8,28,Guntur,"Ramoji Film City",290,Entertainment,"Marriage Booking","2024-10-03 09:00:00","2024-10-03 14:00:00",Completed,11837,2731,Pending
159,698,3,2,Guntur,"Horsley Hills",430,Vacation,"One Way","2024-11-25 03:00:00","2024-11-25 11:00:00",Cancelled,14389,9673,Paid
160,677,6,28,Guntur,"Amaravati Secretariat",40,Corporate,"Round Trip","2024-10-14 19:00:00","2024-10-14 21:00:00",completed,67827,38746,Paid
161,1526,3,34,Guntur,"Amaravati Secretariat",40,Corporate,"One Way","2025-01-01 06:00:00","2025-01-01 08:00:00",Cancelled,9708,4444,Partial
162,2159,15,26,Vijayawada,Visakhapatnam,350,Beach,"Marriage Booking","2026-03-04 08:00:00","2026-03-04 15:00:00",Cancelled,15436,7386,Pending
163,280,1,25,Vijayawada,"Wonderla Bangalore",650,Entertainment,"Corporate Travel","2024-06-29 16:00:00","2024-06-30 05:00:00",Completed,13674,4392,Pending
164,149,13,1,Vijayawada,Kakinada,210,Marriage,"Airport Transfer","2024-07-24 19:00:00","2024-07-24 23:00:00",Cancelled,22843,12608,Partial
165,368,1,31,Vijayawada,Hyderabad,275,Corporate,"Package Trip","2025-10-07 16:00:00","2025-10-07 21:00:00",Completed,13715,6575,Paid
166,2357,11,29,Hyderabad,"Araku Valley",710,Vacation,"One Way","2024-05-29 04:00:00","2024-05-29 18:00:00",Completed,26818,8973,Paid
167,66,7,40,Guntur,Tirupati,380,Devotional,"Package Trip","2025-08-03 18:00:00","2025-08-04 01:00:00",Completed,4902,2466,Pending
168,1119,12,31,Vijayawada,"Wonderla Bangalore",650,Entertainment,"Marriage Booking","2024-01-27 19:00:00","2024-01-28 08:00:00",Cancelled,64480,18877,Partial
169,2321,15,24,Hyderabad,Pondicherry,780,Beach,"Marriage Booking","2025-10-06 15:00:00","2025-10-07 06:00:00",completed,28288,16071,Paid
170,2599,14,5,Vijayawada,"Wonderla Bangalore",650,Entertainment,"Round Trip","2024-11-21 11:00:00","2024-11-22 00:00:00",Completed,18752,6880,Pending
171,2667,2,14,Vijayawada,Hyderabad,275,Corporate,"Corporate Travel","2025-05-20 10:00:00","2025-05-20 15:00:00",completed,23266,6873,Partial
172,336,5,14,Guntur,Tirupati,380,Devotional,"Corporate Travel","2025-08-02 10:00:00","2025-08-02 17:00:00",Completed,5559,2633,Partial
173,1212,7,35,Guntur,Bheemunipatnam,390,Beach,"One Way","2025-12-30 12:00:00","2025-12-30 19:00:00",Cancelled,5033,2692,Paid
174,36,11,17,Hyderabad,Goa,660,Beach,"Marriage Booking","2024-02-06 19:00:00","2024-02-07 08:00:00",Cancelled,22137,12739,Pending
175,1583,14,31,Ongole,"Chennai Airport",320,Airport,"Corporate Travel","2024-09-15 16:00:00","2024-09-15 22:00:00",completed,26542,18395,Partial
176,2512,11,3,Vijayawada,Kakinada,210,Marriage,"Airport Transfer","2024-07-16 00:00:00","2024-07-16 04:00:00",Completed,14581,4631,Paid
177,1803,1,39,Guntur,"Hyderabad Airport",310,Airport,"Round Trip","2024-08-07 23:00:00","2024-08-08 05:00:00",Completed,11754,2737,Partial
